0.100,0.001,149680.0
0.100,0.010,149200.0
0.100,0.100,149680.0
0.100,1.000,149440.0
0.100,2.000,148720.0
0.100,3.000,149440.0
0.100,5.000,149440.0
0.100,7.000,149440.0
0.100,9.000,149940.0
0.100,12.000,149680.0
0.100,15.000,149680.0
0.100,19.000,149940.0
0.100,22.000,148720.0
0.100,25.000,149440.0
0.100,30.000,150180.0
0.100,35.000,149940.0
0.100,42.000,149940.0
0.100,50.000,149680.0
0.100,62.000,150180.0
0.100,75.000,147740.0
0.100,92.000,149440.0
0.100,100.000,150900.0
0.100,125.000,-1
0.100,150.000,-1
0.100,175.000,-1
0.100,225.000,-1
0.100,300.000,-1
0.100,350.000,-1
0.100,425.000,-1
0.100,550.000,-1
0.100,750.000,-1
0.100,1000.000,-1
1.000,0.001,144080.0
1.000,0.010,147980.0
1.000,0.100,148720.0
1.000,1.000,147500.0
1.000,2.000,148220.0
1.000,3.000,148480.0
1.000,5.000,148960.0
1.000,7.000,148220.0
1.000,9.000,149940.0
1.000,12.000,148720.0
1.000,15.000,148480.0
1.000,19.000,149200.0
1.000,22.000,149940.0
1.000,25.000,148480.0
1.000,30.000,149440.0
1.000,35.000,149680.0
1.000,42.000,149940.0
1.000,50.000,149200.0
1.000,62.000,149440.0
1.000,75.000,148720.0
1.000,92.000,148480.0
1.000,100.000,148480.0
1.000,125.000,-1
1.000,150.000,-1
1.000,175.000,-1
1.000,225.000,-1
1.000,300.000,-1
1.000,350.000,-1
1.000,425.000,-1
1.000,550.000,-1
1.000,750.000,-1
1.000,1000.000,-1
2.000,0.001,149440.0
2.000,0.010,148960.0
2.000,0.100,148480.0
2.000,1.000,148480.0
2.000,2.000,148720.0
2.000,3.000,149440.0
2.000,5.000,148720.0
2.000,7.000,149440.0
2.000,9.000,148960.0
2.000,12.000,149200.0
2.000,15.000,149200.0
2.000,19.000,149440.0
2.000,22.000,148960.0
2.000,25.000,147980.0
2.000,30.000,148220.0
2.000,35.000,137980.0
2.000,42.000,149940.0
2.000,50.000,149440.0
2.000,62.000,149680.0
2.000,75.000,149440.0
2.000,92.000,138240.0
2.000,100.000,149440.0
2.000,125.000,-1
2.000,150.000,-1
2.000,175.000,-1
2.000,225.000,-1
2.000,300.000,-1
2.000,350.000,-1
2.000,425.000,-1
2.000,550.000,-1
2.000,750.000,-1
2.000,1000.000,-1
3.000,0.001,150180.0
3.000,0.010,147500.0
3.000,0.100,149680.0
3.000,1.000,149680.0
3.000,2.000,148480.0
3.000,3.000,149680.0
3.000,5.000,147980.0
3.000,7.000,148960.0
3.000,9.000,147740.0
3.000,12.000,148720.0
3.000,15.000,149200.0
3.000,19.000,149440.0
3.000,22.000,149200.0
3.000,25.000,149200.0
3.000,30.000,149440.0
3.000,35.000,148960.0
3.000,42.000,150420.0
3.000,50.000,149440.0
3.000,62.000,149440.0
3.000,75.000,149440.0
3.000,92.000,146520.0
3.000,100.000,148960.0
3.000,125.000,148480.0
3.000,150.000,-1
3.000,175.000,-1
3.000,225.000,-1
3.000,300.000,-1
3.000,350.000,-1
3.000,425.000,-1
3.000,550.000,-1
3.000,750.000,-1
3.000,1000.000,-1
4.000,0.001,124100.0
4.000,0.010,124200.0
4.000,0.100,125320.0
4.000,1.000,136960.0
4.000,2.000,149680.0
4.000,3.000,149200.0
4.000,5.000,149940.0
4.000,7.000,147260.0
4.000,9.000,150180.0
4.000,12.000,149680.0
4.000,15.000,148960.0
4.000,19.000,145780.0
4.000,22.000,149680.0
4.000,25.000,148220.0
4.000,30.000,146040.0
4.000,35.000,149680.0
4.000,42.000,148480.0
4.000,50.000,149680.0
4.000,62.000,149940.0
4.000,75.000,149440.0
4.000,92.000,148720.0
4.000,100.000,150420.0
4.000,125.000,148480.0
4.000,150.000,-1
4.000,175.000,-1
4.000,225.000,-1
